maximum_heart_rate_achieved,heart_rate_desc
71,70-100
88,70-100
90,70-100
95,70-100
96,70-100
97,70-100
99,70-100
103,100-120
105,100-120
106,100-120
108,100-120
109,100-120
111,100-120
112,100-120
113,100-120
114,100-120
115,100-120
116,100-120
117,100-120
118,100-120
120,100-120
121,121-140
122,121-140
123,121-140
124,121-140
125,121-140
126,121-140
127,121-140
128,121-140
129,121-140
130,121-140
131,121-140
132,121-140
133,121-140
134,121-140
136,121-140
137,121-140
138,121-140
139,121-140
140,121-140
141,141-160
142,141-160
143,141-160
144,141-160
145,141-160
146,141-160
147,141-160
148,141-160
149,141-160
150,141-160
151,141-160
152,141-160
153,141-160
154,141-160
155,141-160
156,141-160
157,141-160
158,141-160
159,141-160
160,141-160
161,161-180
162,161-180
163,161-180
164,161-180
165,161-180
166,161-180
167,161-180
168,161-180
169,161-180
170,161-180
171,161-180
172,161-180
173,161-180
174,161-180
175,161-180
177,161-180
178,161-180
179,161-180
180,161-180
181,180-202
182,180-202
184,180-202
185,180-202
186,180-202
187,180-202
188,180-202
190,180-202
192,180-202
194,180-202
195,180-202
202,180-202
